Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
   52   90  142    -5.353    -6.327     0.116       0.063     0.044
   52   92  144    -4.185    -6.316     0.173       0.468     0.066
   52   94  146    -3.570    -6.028     0.204       0.203     0.065
   52   96  148    -3.176    -5.624     0.226       0.993     0.054
   52   98  150    -2.978    -5.401     0.241       1.185     0.040
   52  100  152    -2.995    -5.475     0.254       0.484     0.023
   52  102  154    -3.103    -5.489     0.259       0.038     0.009
   52  104  156    -3.074    -5.441     0.258      -0.069    -0.003
   52  106  158    -3.005    -5.423     0.252       0.317    -0.016
   52  108  160    -2.978    -5.290     0.240      -0.001    -0.023
   52  110  162    -3.008    -5.067     0.222      -0.163    -0.028
   52  112  164    -3.233    -5.095     0.204      -1.384    -0.034
   52  114  166    -3.625    -5.147     0.178      -1.048    -0.037
   52  116  168    -4.317    -5.358     0.139       0.686    -0.031
   52  118  170    -5.716    -6.335     0.126      60.000    -0.007
   52  120  172    -7.434    -7.718     0.083     -30.000    -0.008
   52  122  174    -9.501    -9.583     0.045     -30.000    -0.004
   52  124  176   -12.115   -12.123     0.000     -30.000     0.004
   54   56  110    -3.867    -4.970     0.171       0.784     0.031
   54   58  112    -2.523    -3.875     0.190       0.572     0.031
   54   60  114    -1.588    -3.605     0.225       0.032     0.046
   54   62  116    -1.089    -3.502     0.253       2.336     0.042
   54   64  118    -0.828    -3.104     0.264       1.352     0.023
   54   66  120    -0.864    -3.058     0.259       1.358     0.005
   54   68  122    -1.179    -3.766     0.271      -0.104    -0.018
   54   70  124    -1.571    -4.000     0.254      -0.254    -0.025
   54   72  126    -2.009    -3.506     0.200       1.765    -0.010
   54   74  128    -2.938    -4.074     0.173      23.899    -0.002
   54   76  130    -4.341    -5.233     0.149      25.126    -0.005
   54   78  132    -6.213    -6.709     0.107     -30.000    -0.004
   54   80  134    -9.156    -9.190     0.020      60.000     0.000
   54   82  136   -12.287   -12.314     0.005      60.000     0.000
   54   84  138   -10.272   -10.390     0.046       0.626     0.011
   54   86  140    -8.048    -8.624     0.088      -0.751     0.028
   54   88  142    -6.187    -7.271     0.123       0.449     0.041
   54   90  144    -4.766    -6.332     0.155       0.872     0.054
   54   92  146    -3.967    -6.136     0.185       0.449     0.064
   54   94  148    -3.455    -5.939     0.207       0.392     0.064
   54   96  150    -3.074    -5.548     0.225       0.822     0.056
   54   98  152    -2.852    -5.272     0.239       0.899     0.043
   54  100  154    -2.847    -5.352     0.255       0.273     0.024
   54  102  156    -2.981    -5.422     0.263      -0.147     0.008
   54  104  158    -3.008    -5.502     0.262      -0.487    -0.007
   54  106  160    -2.998    -5.611     0.259      -0.894    -0.021
   54  108  162    -2.950    -5.338     0.241      -0.313    -0.026
   54  110  164    -3.019    -4.937     0.216       0.616    -0.027
   54  112  166    -3.326    -5.088     0.197      -1.258    -0.032
   54  114  168    -3.824    -5.290     0.174      -1.263    -0.034
   54  116  170    -4.504    -5.663     0.147      -0.333    -0.034
   54  118  172    -5.587    -6.286     0.126     -30.000    -0.015
   54  120  174    -7.213    -7.858     0.118      60.000    -0.015
   54  122  176    -9.066    -9.283     0.068     -30.000    -0.010
   54  124  178   -11.595   -11.603     0.000     -30.000     0.004
   54  126  180   -13.967   -13.973     0.000     -30.000     0.004
   56   58  114    -2.132    -4.281     0.237       0.659     0.055
   56   60  116    -1.833    -5.011     0.289      -0.516     0.069
   56   62  118    -1.464    -4.745     0.314      -1.666     0.054
   56   64  120    -1.035    -4.116     0.312      -2.604     0.035
   56   66  122    -0.927    -3.352     0.281      -0.311     0.011
   56   68  124    -1.119    -3.507     0.267       0.698    -0.010
   56   70  126    -1.445    -3.671     0.249       0.202    -0.020
   56   72  128    -1.733    -3.556     0.221      -1.020    -0.020
   56   74  130    -2.265    -3.745     0.193     -16.734    -0.014
   56   76  132    -3.444    -4.663     0.169     -24.855    -0.014
   56   78  134    -4.996    -5.716     0.127      18.918    -0.009
   56   80  136    -7.536    -7.689     0.057       8.120    -0.001
   56   82  138   -10.681   -10.709     0.007      60.000     0.001
   56   84  140    -8.685    -8.837     0.056       2.169     0.011
   56   86  142    -6.633    -7.257     0.106      -1.131     0.025
   56   88  144    -4.976    -6.160     0.142       1.030     0.038
   56   90  146    -3.924    -5.778     0.178      -0.197     0.055
   56   92  148    -3.579    -6.326     0.211      -0.241     0.072
   56   94  150    -3.387    -6.445     0.231      -0.110     0.072
   56   96  152    -3.151    -6.075     0.244       0.661     0.063
   56   98  154    -2.931    -5.603     0.250       0.551     0.049
   56  100  156    -2.825    -5.430     0.256       0.340     0.032
   56  102  158    -2.884    -5.325     0.261      -0.007     0.015
   56  104  160    -2.868    -5.230     0.257      -0.392    -0.001
   56  106  162    -2.818    -5.187     0.248      -0.079    -0.016
   56  108  164    -2.874    -5.124     0.232      -0.644    -0.025
   56  110  166    -2.994    -4.977     0.213       0.522    -0.030
   56  112  168    -3.375    -5.186     0.197      -0.511    -0.037
   56  114  170    -3.910    -5.578     0.180      -1.220    -0.043
   56  116  172    -4.542    -5.964     0.158       0.059    -0.044
   56  118  174    -5.276    -6.261     0.127      -1.565    -0.037
   56  120  176    -6.800    -7.490     0.122      60.000    -0.015
   56  122  178    -8.666    -8.914     0.069     -30.000    -0.012
   56  124  180   -11.279   -11.287     0.000     -30.000     0.004
   56  126  182   -13.699   -13.705     0.000     -30.000     0.004
   58   62  120    -2.370    -5.665     0.318      -0.972     0.060
   58   64  122    -1.843    -5.002     0.319      -1.595     0.044
   58   66  124    -1.491    -4.343     0.309      -0.881     0.025
   58   68  126    -1.354    -3.943     0.292      -0.287     0.004
   58   70  128    -1.344    -3.763     0.269       0.140    -0.014
   58   72  130    -1.320    -3.305     0.237       0.493    -0.019
   58   74  132    -1.676    -3.391     0.212     -22.399    -0.019
   58   76  134    -2.711    -4.081     0.182     -25.136    -0.023
   58   78  136    -4.038    -4.984     0.144     -25.102    -0.020
   58   80  138    -6.281    -6.602     0.078      -1.133    -0.008
   58   82  140    -9.421    -9.448     0.001      60.000     0.000
   58   84  142    -7.360    -7.488     0.055       4.164     0.007
   58   86  144    -5.317    -5.864     0.111      -1.294     0.019
   58   88  146    -3.806    -5.152     0.158       0.033     0.039
   58   90  148    -3.332    -6.035     0.210      -0.589     0.072
   58   92  150    -3.564    -7.114     0.236      -0.165     0.084
   58   94  152    -3.660    -7.430     0.253      -0.230     0.081
   58   96  154    -3.533    -7.026     0.263      -0.022     0.071
   58   98  156    -3.278    -6.399     0.267       0.071     0.058
   58  100  158    -3.092    -5.995     0.271       0.026     0.042
   58  102  160    -3.018    -5.786     0.274      -0.097     0.025
   58  104  162    -2.884    -5.379     0.267      -0.468     0.007
   58  106  164    -2.696    -5.052     0.251       0.078    -0.012
   58  108  166    -2.726    -5.005     0.235      -0.798    -0.026
   58  110  168    -2.839    -4.931     0.216       0.546    -0.036
   58  112  170    -3.242    -5.297     0.202      -0.557    -0.045
   58  114  172    -3.843    -5.869     0.187      -0.710    -0.052
   58  116  174    -4.357    -6.166     0.168       0.220    -0.054
   58  118  176    -4.827    -6.046     0.138      -0.040    -0.045
   58  120  178    -6.346    -7.048     0.125      60.000    -0.013
   58  122  180    -8.197    -8.585     0.081      60.000    -0.016
   58  124  182   -10.923   -10.930     0.000     -30.000     0.004
   58  126  184   -13.378   -13.383     0.000     -30.000     0.003
   60   64  124    -2.720    -5.885     0.323      -1.809     0.049
   60   66  126    -2.253    -5.188     0.317      -1.263     0.032
   60   68  128    -1.956    -4.643     0.309      -0.480     0.013
   60   70  130    -1.686    -4.449     0.302      -0.494    -0.002
   60   72  132    -1.200    -3.556     0.271      -0.114    -0.007
   60   74  134    -1.396    -3.354     0.232     -25.716    -0.019
   60   76  136    -2.187    -3.727     0.197     -26.499    -0.024
   60   78  138    -3.286    -4.344     0.156      28.566    -0.024
   60   80  140    -5.283    -5.626     0.077       1.138    -0.011
   60   82  142    -8.491    -8.513     0.000     -30.000     0.001
   60   84  144    -6.314    -6.393     0.041      10.807     0.005
   60   86  146    -4.155    -4.688     0.115       0.834     0.017
   60   88  148    -2.948    -4.777     0.184      -0.776     0.052
   60   90  150    -3.037    -6.238     0.229       0.075     0.079
   60   92  152    -3.626    -7.524     0.254      -0.177     0.087
   60   94  154    -3.966    -7.889     0.269      -0.253     0.083
   60   96  156    -3.952    -7.652     0.277       0.016     0.074
   60   98  158    -3.686    -7.060     0.281      -0.014     0.061
   60  100  160    -3.481    -6.597     0.283       0.228     0.046
   60  102  162    -3.376    -6.391     0.285       0.040     0.030
   60  104  164    -3.155    -5.849     0.280      -0.324     0.013
   60  106  166    -2.797    -5.279     0.265      -0.013    -0.005
   60  108  168    -2.585    -5.000     0.245      -0.693    -0.025
   60  110  170    -2.588    -4.873     0.226       1.470    -0.040
   60  112  172    -2.919    -5.268     0.210      -0.638    -0.052
   60  114  174    -3.478    -5.917     0.195      -0.724    -0.061
   60  116  176    -3.897    -6.145     0.176       0.673    -0.063
   60  118  178    -4.431    -5.514     0.168      60.000    -0.002
   60  120  180    -5.931    -6.716     0.134      60.000    -0.012
   60  122  182    -7.634    -8.078     0.090      60.000    -0.016
   60  124  184   -10.176   -10.182     0.000     -30.000     0.004
   60  126  186   -12.615   -12.620     0.000     -30.000     0.003
   62   66  128    -2.607    -5.344     0.323      -2.788     0.024
   62   68  130    -2.366    -4.996     0.315      -0.481     0.005
   62   70  132    -2.123    -4.951     0.313      -0.588    -0.009
   62   72  134    -1.583    -4.575     0.326      -0.934    -0.000
   62   74  136    -1.466    -3.536     0.244     -25.526    -0.022
   62   76  138    -2.004    -3.732     0.212     -27.120    -0.028
   62   78  140    -2.828    -4.021     0.169      34.792    -0.023
   62   80  142    -4.635    -4.663     0.000     -30.000    -0.000
   62   82  144    -7.824    -7.851     0.000     -30.000    -0.000
   62   84  146    -5.553    -5.602     0.028      35.501     0.003
   62   86  148    -3.285    -4.015     0.128       2.301     0.023
   62   88  150    -2.411    -4.282     0.194      -0.971     0.051
   62   90  152    -2.601    -5.445     0.233       0.471     0.070
   62   92  154    -3.245    -6.700     0.258       0.005     0.077
   62   94  156    -3.678    -7.234     0.272      -0.174     0.074
   62   96  158    -3.781    -7.209     0.281       0.169     0.065
   62   98  160    -3.639    -6.851     0.283       0.656     0.052
   62  100  162    -3.568    -6.603     0.286       0.557     0.037
   62  102  164    -3.624    -6.507     0.289       0.150     0.022
   62  104  166    -3.480    -6.182     0.284      -0.201     0.009
   62  106  168    -3.119    -5.743     0.273      -0.172    -0.007
   62  108  170    -2.765    -5.369     0.257      -1.869    -0.025
   62  110  172    -2.620    -5.071     0.237      -0.184    -0.039
   62  112  174    -2.739    -5.304     0.221      -0.580    -0.054
   62  114  176    -3.162    -5.898     0.204      -0.559    -0.064
   62  116  178    -3.436    -6.018     0.184       1.207    -0.067
   62  118  180    -4.337    -5.614     0.182      60.000    -0.002
   62  120  182    -5.644    -6.582     0.149      60.000    -0.012
   62  122  184    -7.086    -7.634     0.102      60.000    -0.016
   62  124  186    -9.297    -9.307     0.011     -30.000     0.002
   62  126  188   -11.705   -11.709     0.000     -30.000     0.003
   62  128  190    -9.943    -9.951     0.000     -30.000     0.004
   62  130  192    -7.828    -7.878     0.026     -30.000     0.008
   62  132  194    -6.028    -6.333     0.056      -2.778     0.019
   62  134  196    -4.534    -5.188     0.086       2.905     0.033
   62  136  198    -3.968    -6.009     0.157       0.458     0.069
   64   70  134    -2.739    -5.597     0.314      -0.096    -0.026
   64   72  136    -2.043    -5.027     0.320      -0.306    -0.018
   64   74  138    -1.768    -3.981     0.252     -23.859    -0.026
   64   76  140    -2.120    -4.016     0.225     -26.309    -0.032
   64   78  142    -2.768    -4.057     0.180      47.731    -0.019
   64   80  144    -4.337    -5.079     0.132      60.000    -0.010
   64   82  146    -7.353    -7.386     0.000     -30.000    -0.001
   64   84  148    -5.014    -5.074     0.038      59.878     0.003
   64   86  150    -2.878    -3.883     0.146       1.089     0.031
   64   88  152    -2.104    -3.834     0.194      -0.521     0.043
   64   90  154    -2.211    -4.618     0.231       1.324     0.057
   64   92  156    -2.784    -5.714     0.256       0.298     0.064
   64   94  158    -3.251    -6.359     0.271      -0.203     0.062
   64   96  160    -3.457    -6.544     0.280       0.414     0.053
   64   98  162    -3.518    -6.500     0.286       2.191     0.039
   64  100  164    -3.646    -6.487     0.289       0.826     0.024
   64  102  166    -3.848    -6.596     0.290       0.309     0.011
   64  104  168    -3.812    -6.530     0.286      -0.025    -0.001
   64  106  170    -3.518    -6.343     0.278       0.138    -0.016
   64  108  172    -3.191    -5.929     0.267      -1.149    -0.030
   64  110  174    -2.933    -5.601     0.248      -0.041    -0.043
   64  112  176    -2.902    -5.694     0.231      -0.799    -0.056
   64  114  178    -3.137    -6.125     0.214      -0.729    -0.067
   64  116  180    -3.240    -4.986     0.214      60.000     0.003
   64  118  182    -4.428    -5.807     0.187      60.000    -0.007
   64  120  184    -5.640    -6.740     0.160      60.000    -0.013
   64  122  186    -6.752    -7.455     0.117      60.000    -0.017
   64  124  188    -8.566    -8.594     0.023     -30.000    -0.001
   64  126  190   -10.931   -10.937     0.001      60.000     0.003
   64  128  192    -9.095    -9.101     0.000     -30.000     0.004
   64  130  194    -6.927    -6.994     0.032     -30.000     0.009
   64  132  196    -5.106    -5.570     0.068       3.392     0.024
   64  134  198    -3.863    -4.982     0.119       6.512     0.049
   64  136  200    -3.667    -5.933     0.163       0.437     0.073
   64  138  202    -3.942    -6.688     0.188       0.022     0.078
   64  140  204    -4.258    -6.949     0.206      -0.417     0.073
   66   72  138    -2.807    -5.634     0.303      -0.891    -0.039
   66   74  140    -2.193    -4.461     0.258     -20.034    -0.035
   66   76  142    -2.379    -4.377     0.231     -25.477    -0.036
   66   78  144    -3.145    -4.471     0.185      59.970    -0.021
   66   80  146    -4.557    -5.493     0.148      60.000    -0.014
   66   82  148    -7.133    -7.166     0.000     -30.000    -0.001
   66   84  150    -4.786    -4.950     0.066      59.930     0.008
   66   86  152    -2.822    -3.799     0.150       0.607     0.030
   66   88  154    -2.019    -3.541     0.193      -2.467     0.035
   66   90  156    -1.986    -4.078     0.227       1.191     0.044
   66   92  158    -2.437    -4.978     0.253       0.697     0.052
   66   94  160    -2.902    -5.685     0.270      -0.169     0.050
   66   96  162    -3.224    -6.067     0.281       0.978     0.040
   66   98  164    -3.446    -6.154     0.287       5.276     0.028
   66  100  166    -3.714    -6.361     0.290       1.410     0.013
   66  102  168    -4.029    -6.809     0.291       0.385    -0.000
   66  104  170    -4.143    -6.994     0.286       0.149    -0.013
   66  106  172    -4.059    -6.974     0.282       0.473    -0.027
   66  108  174    -3.767    -6.671     0.270      -0.377    -0.039
   66  110  176    -3.500    -6.479     0.255      -0.264    -0.050
   66  112  178    -3.392    -6.519     0.239      -0.161    -0.061
   66  114  180    -3.498    -6.745     0.222      -0.831    -0.069
   66  116  182    -3.497    -5.268     0.214      60.000    -0.005
   66  118  184    -4.698    -6.232     0.192      60.000    -0.013
   66  120  186    -5.825    -7.130     0.170      60.000    -0.018
   66  122  188    -6.700    -7.539     0.128      60.000    -0.019
   66  124  190    -8.095    -8.162     0.037     -30.000    -0.005
   66  126  192   -10.389   -10.400     0.003      60.000     0.001
   66  128  194    -8.486    -8.490     0.000     -30.000     0.003
   66  130  196    -6.279    -6.464     0.050      -7.055     0.014
   66  132  198    -4.523    -5.147     0.083       6.191     0.030
   66  134  200    -3.499    -4.783     0.130       5.628     0.053
   66  136  202    -3.408    -5.550     0.165       0.594     0.069
   66  138  204    -3.668    -6.201     0.186       0.312     0.074
   66  140  206    -3.958    -6.490     0.203      -0.186     0.070
   66  142  208    -4.251    -6.655     0.216       0.582     0.063
   66  144  210    -4.658    -7.010     0.232       0.592     0.056
   68   76  144    -2.802    -4.722     0.225     -26.255    -0.040
   68   78  146    -3.768    -5.135     0.187      60.000    -0.028
   68   80  148    -5.042    -6.013     0.155      60.000    -0.020
   68   82  150    -7.255    -7.289     0.000     -30.000    -0.001
   68   84  152    -4.948    -5.155     0.077      60.000     0.007
   68   86  154    -3.074    -3.907     0.146       0.202     0.026
   68   88  156    -2.152    -3.384     0.186      -1.693     0.027
   68   90  158    -1.886    -3.569     0.216      -0.636     0.033
   68   92  160    -2.122    -4.353     0.245      -0.139     0.040
   68   94  162    -2.546    -5.041     0.268       0.014     0.039
   68   96  164    -2.934    -5.411     0.280       0.452     0.030
   68   98  166    -3.277    -5.747     0.286       0.734     0.015
   68  100  168    -3.716    -6.403     0.291       0.496    -0.001
   68  102  170    -4.291    -7.104     0.292       0.171    -0.014
   68  104  172    -4.564    -7.427     0.288       0.134    -0.026
   68  106  174    -4.582    -7.603     0.281       0.044    -0.038
   68  108  176    -4.427    -7.620     0.271      -0.276    -0.050
   68  110  178    -4.236    -7.696     0.260      -0.391    -0.061
   68  112  180    -4.146    -7.835     0.247      -0.149    -0.071
   68  114  182    -4.167    -7.814     0.230      -0.399    -0.076
   68  116  184    -3.970    -7.116     0.208      -0.378    -0.072
   68  118  186    -5.065    -6.780     0.196      60.000    -0.019
   68  120  188    -6.167    -7.650     0.177      60.000    -0.023
   68  122  190    -6.910    -7.904     0.134      60.000    -0.023
   68  124  192    -8.064    -8.487     0.070      60.000    -0.020
   68  126  194   -10.207   -10.230     0.005      60.000     0.000
   68  128  196    -8.226    -8.229     0.000     -30.000     0.003
   68  130  198    -6.013    -6.226     0.054      -1.607     0.014
   68  132  200    -4.299    -4.950     0.091       4.963     0.030
   68  134  202    -3.318    -4.520     0.132       3.837     0.049
   68  136  204    -3.200    -5.075     0.164       0.526     0.062
   68  138  206    -3.432    -5.671     0.185       0.179     0.067
   68  140  208    -3.721    -6.032     0.201      -0.147     0.065
   68  142  210    -4.030    -6.271     0.214       0.489     0.059
   68  144  212    -4.433    -6.655     0.228       0.602     0.052
   68  146  214    -4.753    -6.947     0.238       0.011     0.043
   68  148  216    -4.930    -7.076     0.246      -0.061     0.028
   70   78  148    -4.494    -5.907     0.183      60.000    -0.035
   70   80  150    -5.732    -6.776     0.153      60.000    -0.027
   70   82  152    -7.807    -7.841     0.000     -30.000    -0.001
   70   84  154    -5.489    -5.688     0.077      59.940     0.003
   70   86  156    -3.627    -4.280     0.139      -0.095     0.020
   70   88  158    -2.527    -3.479     0.173      -0.532     0.021
   70   90  160    -1.988    -3.291     0.204      -1.192     0.023
   70   92  162    -1.943    -3.657     0.232      -0.074     0.029
   70   94  164    -2.245    -4.349     0.261       0.124     0.030
   70   96  166    -2.670    -4.940     0.280       0.389     0.021
   70   98  168    -3.128    -5.572     0.289       0.490     0.005
   70  100  170    -3.767    -6.456     0.293       0.055    -0.010
   70  102  172    -4.364    -7.148     0.293      -0.063    -0.022
   70  104  174    -4.729    -7.670     0.288      -0.102    -0.035
   70  106  176    -4.852    -8.083     0.279      -0.170    -0.048
   70  108  178    -4.871    -8.476     0.269      -0.186    -0.062
   70  110  180    -4.838    -8.650     0.259      -0.378    -0.071
   70  112  182    -4.849    -8.890     0.248      -0.207    -0.080
   70  114  184    -4.900    -8.768     0.230      -0.275    -0.082
   70  116  186    -4.704    -7.868     0.204      -0.155    -0.074
   70  118  188    -5.411    -7.154     0.195      60.000    -0.025
   70  120  190    -6.556    -8.062     0.175      60.000    -0.027
   70  122  192    -7.337    -8.331     0.130      60.000    -0.027
   70  124  194    -8.469    -9.017     0.078      60.000    -0.025
   70  126  196   -10.432   -10.464     0.007      60.000    -0.001
   70  128  198    -8.381    -8.383     0.000     -30.000     0.002
   70  130  200    -6.132    -6.327     0.057      -1.723     0.012
   70  132  202    -4.390    -4.971     0.091       2.606     0.025
   70  134  204    -3.330    -4.351     0.128       2.433     0.042
   70  136  206    -3.083    -4.664     0.161       0.219     0.055
   70  138  208    -3.247    -5.196     0.182       0.045     0.060
   70  140  210    -3.523    -5.623     0.200      -0.201     0.059
   70  142  212    -3.862    -5.946     0.214       0.027     0.054
   70  144  214    -4.297    -6.404     0.228       0.328     0.048
   70  146  216    -4.649    -6.752     0.236       0.063     0.039
   70  148  218    -4.875    -6.837     0.241      -0.165     0.024
   70  150  220    -5.066    -6.901     0.244      -0.199     0.010
   70  152  222    -5.228    -7.105     0.242       0.050    -0.006
   72   82  154    -8.813    -8.813     0.000     -30.000    -0.001
   72   84  156    -6.465    -6.642     0.077      11.203     0.003
   72   86  158    -4.492    -4.968     0.129      -0.515     0.012
   72   88  160    -3.184    -3.907     0.160      -0.673     0.014
   72   90  162    -2.313    -3.314     0.187      -1.751     0.017
   72   92  164    -1.951    -3.267     0.212      -1.143     0.022
   72   94  166    -2.030    -3.840     0.247      -0.333     0.028
   72   96  168    -2.416    -4.559     0.277       0.245     0.024
   72   98  170    -2.867    -5.164     0.289       0.474     0.011
   72  100  172    -3.411    -6.045     0.298      -0.001    -0.004
   72  102  174    -3.982    -6.737     0.301      -0.328    -0.017
   72  104  176    -4.300    -7.037     0.285      -0.171    -0.032
   72  106  178    -4.492    -7.390     0.266      -0.129    -0.047
   72  108  180    -4.694    -7.904     0.251      -0.165    -0.060
   72  110  182    -4.868    -8.380     0.242       0.129    -0.071
   72  112  184    -5.108    -8.700     0.230      -0.111    -0.079
   72  114  186    -5.403    -8.923     0.214      -0.311    -0.082
   72  116  188    -5.412    -8.341     0.192       0.077    -0.073
   72  118  190    -5.736    -7.354     0.186      60.000    -0.029
   72  120  192    -7.017    -8.385     0.165      60.000    -0.031
   72  122  194    -8.006    -8.962     0.124      60.000    -0.032
   72  124  196    -9.223    -9.800     0.078      60.000    -0.028
   72  126  198   -11.083   -11.107     0.008      59.397    -0.001
   72  128  200    -8.955    -9.017     0.023      -6.853    -0.000
   72  130  202    -6.617    -6.778     0.055      -2.879     0.008
   72  132  204    -4.776    -5.176     0.086       4.372     0.017
   72  134  206    -3.574    -4.413     0.120       2.814     0.032
   72  136  208    -3.096    -4.386     0.153      -0.192     0.046
   72  138  210    -3.132    -4.831     0.178      -0.371     0.054
   72  140  212    -3.377    -5.329     0.200      -0.525     0.055
   72  142  214    -3.760    -5.751     0.215      -0.430     0.050
   72  144  216    -4.237    -6.274     0.228       0.148     0.044
   72  146  218    -4.621    -6.686     0.236       0.154     0.035
   72  148  220    -4.906    -6.797     0.242      -0.119     0.022
   72  150  222    -5.158    -6.959     0.245      -0.223     0.008
   72  152  224    -5.364    -7.226     0.241       0.174    -0.007
   72  154  226    -5.672    -7.738     0.240      -0.186    -0.023
   72  156  228    -5.933    -8.076     0.238      -0.030    -0.035
   72  158  230    -6.209    -8.574     0.236      -0.134    -0.046
   74   84  158    -7.844    -7.965     0.068      20.497    -0.002
   74   86  160    -5.628    -5.979     0.115       1.428     0.004
   74   88  162    -4.081    -4.631     0.145      -0.649     0.006
   74   90  164    -2.915    -3.642     0.166      -0.009     0.009
   74   92  166    -2.187    -3.135     0.188       1.907     0.015
   74   94  168    -1.900    -3.245     0.218       1.704     0.024
   74   96  170    -2.121    -4.074     0.265      -0.568     0.029
   74   98  172    -2.497    -4.519     0.278       0.017     0.016
   74  100  174    -2.953    -5.209     0.288       0.159     0.003
   74  102  176    -3.415    -5.909     0.294       0.066    -0.010
   74  104  178    -3.714    -6.053     0.272       0.111    -0.026
   74  106  180    -4.008    -6.417     0.246      -0.660    -0.044
   74  108  182    -4.383    -7.130     0.233      -0.951    -0.057
   74  110  184    -4.747    -7.733     0.221       0.340    -0.067
   74  112  186    -5.198    -8.407     0.210      -0.249    -0.076
   74  114  188    -5.723    -8.833     0.196      -0.397    -0.077
   74  116  190    -6.017    -8.766     0.177       0.065    -0.073
   74  118  192    -6.234    -7.645     0.170      59.946    -0.032
   74  120  194    -7.704    -8.920     0.150      60.000    -0.034
   74  122  196    -8.974    -9.877     0.115      60.000    -0.035
   74  124  198   -10.322   -10.887     0.075      60.000    -0.029
   74  126  200   -12.191   -12.204     0.008      60.000    -0.001
   74  128  202   -10.014   -10.055     0.009      19.167    -0.001
   74  130  204    -7.534    -7.657     0.048      -6.509     0.002
   74  132  206    -5.545    -5.772     0.076       6.098     0.009
   74  134  208    -4.054    -4.637     0.107       4.906     0.020
   74  136  210    -3.278    -4.333     0.140       0.213     0.037
   74  138  212    -3.110    -4.624     0.170      -0.679     0.049
   74  140  214    -3.305    -5.199     0.199      -0.892     0.055
   74  142  216    -3.697    -5.654     0.215      -0.749     0.050
   74  144  218    -4.173    -6.174     0.228      -0.188     0.043
   74  146  220    -4.571    -6.606     0.237       0.069     0.035
   74  148  222    -4.874    -6.757     0.245       0.087     0.022
   74  150  224    -5.147    -6.944     0.247       0.213     0.010
   74  152  226    -5.344    -7.170     0.244       0.380    -0.004
   74  154  228    -5.567    -7.604     0.241      -0.103    -0.020
   74  156  230    -5.803    -7.899     0.238       0.197    -0.033
   74  158  232    -6.095    -8.404     0.235       0.036    -0.045
   74  160  234    -6.331    -8.891     0.228       0.025    -0.056
   74  162  236    -6.376    -9.100     0.215      -0.074    -0.064
   76   88  164    -5.158    -5.550     0.123       3.711     0.001
   76   90  166    -3.683    -4.212     0.144       3.487     0.001
   76   92  168    -2.598    -3.278     0.164      -4.011     0.005
   76   94  170    -1.968    -2.926     0.191       3.019     0.014
   76   96  172    -1.900    -3.517     0.242       4.409     0.030
   76   98  174    -2.166    -3.902     0.263      -1.591     0.021
   76  100  176    -2.531    -4.420     0.273      -0.465     0.007
   76  102  178    -2.952    -5.133     0.280      -0.005    -0.007
   76  104  180    -3.252    -5.345     0.266      -0.302    -0.022
   76  106  182    -3.554    -5.609     0.236      -2.214    -0.039
   76  108  184    -3.994    -6.274     0.218      -1.586    -0.052
   76  110  186    -4.487    -6.952     0.203       2.906    -0.060
   76  112  188    -5.079    -7.715     0.189      -0.947    -0.068
   76  114  190    -5.783    -8.391     0.177      -0.671    -0.071
   76  116  192    -6.395    -8.682     0.157      -0.405    -0.067
   76  118  194    -7.081    -8.256     0.153      60.000    -0.034
   76  120  196    -8.730    -9.736     0.135      60.000    -0.034
   76  122  198   -10.255   -11.079     0.106      60.000    -0.035
   76  124  200   -11.779   -12.295     0.069      60.000    -0.028
   76  126  202   -13.706   -13.709     0.008      59.450    -0.001
   76  128  204   -11.466   -11.514     0.009      57.917    -0.002
   76  130  206    -8.870    -8.896     0.027     -30.000     0.002
   76  132  208    -6.665    -6.803     0.063      11.977     0.004
   76  134  210    -4.900    -5.188     0.086      10.436     0.010
   76  136  212    -3.669    -4.458     0.119       4.194     0.026
   76  138  214    -3.206    -4.591     0.159      -0.024     0.047
   76  140  216    -3.271    -5.109     0.193      -1.060     0.056
   76  142  218    -3.616    -5.521     0.211      -1.102     0.052
   76  144  220    -4.035    -5.962     0.224      -0.794     0.045
   76  146  222    -4.393    -6.339     0.233      -0.314     0.035
   76  148  224    -4.678    -6.502     0.242       0.042     0.023
   76  150  226    -4.963    -6.702     0.246       0.338     0.011
   76  152  228    -5.158    -6.915     0.243       0.763    -0.002
   76  154  230    -5.315    -7.316     0.243       0.255    -0.017
   76  156  232    -5.542    -7.600     0.240       0.401    -0.030
   76  158  234    -5.826    -8.075     0.237       0.359    -0.042
   76  160  236    -6.049    -8.507     0.229       0.395    -0.053
   76  162  238    -6.089    -8.626     0.213       0.088    -0.060
   76  164  240    -6.112    -8.660     0.195      -0.102    -0.066
   76  166  242    -6.077    -8.556     0.180      -0.460    -0.068
   76  168  244    -6.073    -8.351     0.163       0.174    -0.068
   76  170  246    -6.176    -8.185     0.147       1.148    -0.066
   78   90  168    -4.765    -5.155     0.119     -30.000    -0.001
   78   92  170    -3.349    -3.855     0.139     -25.592     0.001
   78   94  172    -2.309    -2.921     0.154     -25.239     0.000
   78   96  174    -1.814    -3.373     0.237       5.682     0.034
   78   98  176    -1.980    -3.528     0.252       7.047     0.024
   78  100  178    -2.225    -3.848     0.263       0.147     0.011
