Calculations with WS3
    Z    N    A      Etot  Eshell+pairing  beta2      gamma      beta4
   24   22   46    -3.524    -4.531     0.158       0.152     0.048
   24   24   48    -3.522    -5.233     0.218       0.650     0.055
   24   26   50    -3.562    -4.916     0.201       1.511     0.032
   24   28   52    -3.865    -4.488     0.135       4.395     0.020
   24   30   54    -3.783    -4.596     0.156       1.216     0.020
   24   32   56    -2.996    -3.785     0.156       2.552     0.014
   24   34   58    -2.048    -2.782     0.152       0.251     0.009
   24   36   60    -1.149    -1.888     0.152       2.363     0.011
   24   38   62    -1.126    -3.784     0.268       0.084     0.057
   24   40   64    -1.553    -4.202     0.272      -0.625     0.053
   24   42   66    -2.181    -4.428     0.252      -1.713     0.046
   24   44   68    -3.035    -4.817     0.223      -1.245     0.041
   24   46   70    -4.173    -5.500     0.192      -0.595     0.028
   24   48   72    -5.627    -6.222     0.135       0.402     0.010
   24   50   74    -7.528    -7.528     0.000     -30.000    -0.001
   24   52   76    -7.463    -7.879     0.107      -0.895     0.014
   26   22   48    -4.397    -5.064     0.136       1.727     0.029
   26   24   50    -3.924    -5.242     0.205       1.240     0.032
   26   26   52    -3.699    -4.826     0.198       2.873     0.008
   26   28   54    -4.123    -4.250     0.060      -6.270     0.006
   26   30   56    -3.626    -4.293     0.146       4.168     0.004
   26   32   58    -2.741    -3.609     0.162       5.374    -0.004
   26   34   60    -1.781    -2.693     0.157       0.639    -0.013
   26   36   62    -0.895    -1.622     0.138       6.298    -0.012
   26   38   64    -0.656    -3.506     0.297       0.406     0.025
   26   40   66    -1.162    -4.050     0.300      -0.502     0.023
   26   42   68    -1.753    -4.147     0.272       4.092     0.018
   26   44   70    -2.590    -4.465     0.239       2.366     0.014
   26   46   72    -3.808    -5.029     0.194      -0.478     0.006
   26   48   74    -5.409    -5.868     0.118      -0.587    -0.003
   26   50   76    -7.561    -7.561     0.000     -30.000    -0.001
   26   52   78    -7.022    -7.233     0.080      -2.434     0.002
   26   54   80    -5.979    -6.424     0.116      -0.234    -0.006
   26   56   82    -4.638    -4.744     0.057      59.920     0.003
   28   22   50    -5.993    -6.095     0.055      -5.624     0.009
   28   24   52    -4.443    -5.087     0.140       4.588     0.021
   28   26   54    -4.398    -4.520     0.061      -6.683     0.005
   28   28   56    -4.870    -4.957     0.047      -8.807     0.004
   28   30   58    -4.163    -4.264     0.054      -8.615     0.004
   28   32   60    -2.914    -3.037     0.059      -8.564     0.004
   28   34   62    -1.941    -2.100     0.066      -7.640     0.001
   28   36   64    -1.317    -1.441     0.057      -8.893    -0.000
   28   38   66    -1.134    -1.151     0.000     -30.000     0.000
   28   40   68    -1.287    -1.307     0.000     -30.000    -0.000
   28   42   70    -1.466    -4.526     0.307      -1.463    -0.001
   28   44   72    -2.209    -4.345     0.255      -4.111     0.004
   28   46   74    -3.625    -3.837     0.078      -4.216     0.004
   28   48   76    -5.809    -5.894     0.048      -6.446    -0.001
   28   50   78    -8.097    -8.097     0.000     -30.000    -0.001
   28   52   80    -7.250    -7.333     0.050      -5.013     0.001
   28   54   82    -5.820    -5.926     0.055      -1.582    -0.002
   28   56   84    -4.385    -4.471     0.048      60.000     0.004
   28   58   86    -3.030    -5.486     0.270      -1.398     0.023
   28   60   88    -3.164    -6.364     0.314      -1.784     0.032
   30   28   58    -4.352    -4.452     0.055      -8.522     0.004
   30   30   60    -3.056    -3.790     0.155      16.547     0.008
   30   32   62    -2.244    -3.206     0.173      21.803     0.000
   30   34   64    -1.350    -3.220     0.237      60.000     0.012
   30   36   66    -0.593    -1.400     0.146     -30.000    -0.009
   30   38   68    -0.200    -0.549     0.093     -30.000    -0.006
   30   40   70    -0.368    -0.387     0.000     -30.000    -0.000
   30   42   72    -0.771    -2.929     0.254      19.346     0.009
   30   44   74    -1.904    -3.089     0.182      14.583     0.018
   30   46   76    -3.530    -4.360     0.153       1.761     0.013
   30   48   78    -5.331    -5.780     0.112       0.080     0.002
   30   50   80    -7.325    -7.347     0.000     -30.000    -0.001
   30   52   82    -6.565    -6.872     0.089      -1.595     0.009
   30   54   84    -5.221    -5.739     0.122       1.972     0.005
   30   56   86    -3.599    -4.349     0.148       3.140     0.003
   30   58   88    -2.283    -4.003     0.223       1.914     0.013
   30   60   90    -1.826    -4.628     0.284      -0.977     0.025
